Gen-id	Homology_group	Genome_numbers	Best Arabidopsis Thaliana hit	% identity Arabidopsis Thaliana hit	full_name best hit Arabidopsis	Best cauliflower hit	% identity cauliflower hit	Gene found blasting the initial query to the pangenome?	Gene found blasting the Brassica best hit to the pangenome	Species
BroT21.C07g24140.1	35124352	3	AT4G08430.1	28.080	Ulp1 protease family protein	BroT22.C07g25060.1	95.726	NO	NO	cauliflower
BroT21.C02g26240.1	35124352	3	AT5G45570.1	43.911	transposable element gene	BroT22.C02g26310.1	100.000	NO	NO	cauliflower
BroT21.C02g45410.1	35124352	3	AT5G45570.1	48.387	transposable element gene	BroT22.C07g25060.1	78.378	NO	NO	cauliflower
BroT22.C02g26310.1	35124352	4	AT5G45570.1	45.918	transposable element gene	BroT22.C02g26310.1	100.000	NO	NO	cauliflower
BroT22.C02g48950.1	35124352	4	AT5G45570.1	49.091	transposable element gene	BroT22.C02g48950.1	100.000	NO	NO	cauliflower
BroT21.C09g53640.1	35124352	3	AT5G45570.1	34.745	transposable element gene	BroT22.C09g53000.1	94.595	NO	NO	cauliflower
BroT21.C04g19880.1	35124352	3	AT5G45570.1	27.743	transposable element gene	BroT22.C02g32450.1	31.026	NO	NO	cauliflower
BroT21.C01g15960.1	35124352	3	AT5G45570.1	22.353	transposable element gene	BroT22.C03g60450.1	28.947	NO	NO	cauliflower
BroT22.C06g06720.1	35124352	4	AT3G31910.1	46.377	Domain of unknown function (DUF1985)	BroT22.C06g06720.1	100.000	NO	NO	cauliflower
caul1G00161.1	35129399	1	AT4G37435.1	36.667	None	BroT22.C01g01650.1	98.582	NO	NO	cauliflower
caul9G05236.1	35126129	1	AT5G10130.1	78.873	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53780.1	100.000	NO	NO	cauliflower
BroT21.C09g54470.1	35126129	3	AT5G10130.1	78.873	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53780.1	100.000	NO	NO	cauliflower
BroT25.C09g53100.1	35126129	2	AT5G10130.1	64.789	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53750.1	100.000	NO	NO	cauliflower
BroT22.C09g53780.1	35126129	4	AT5G10130.1	78.873	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53780.1	100.000	NO	NO	cauliflower
BroT22.C02g03650.1	35126129	4	AT5G10130.1	83.537	Pollen Ole e 1 allergen and extensin family protein	BroT22.C02g03650.1	100.000	NO	NO	cauliflower
BroT25.C02g03950.1	35126129	2	AT5G10130.1	83.537	Pollen Ole e 1 allergen and extensin family protein	BroT22.C02g03650.1	100.000	NO	NO	cauliflower
BroT25.C09g53130.1	35126129	2	AT5G10130.1	78.873	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53780.1	100.000	NO	NO	cauliflower
caul2G00380.1	35126129	1	AT5G10130.1	83.537	Pollen Ole e 1 allergen and extensin family protein	BroT22.C02g03650.1	100.000	NO	NO	cauliflower
BroT22.C09g53750.1	35126129	4	AT5G10130.1	64.789	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53750.1	100.000	NO	NO	cauliflower
BroT21.C09g54430.1	35126129	3	AT5G10130.1	57.746	Pollen Ole e 1 allergen and extensin family protein	BroT22.C09g53750.1	81.356	NO	NO	cauliflower
BroT21.C08g56070.1	35127651	3	AT3G57587.1	31.053	None	BroT22.C01g19320.1	97.403	NO	NO	cauliflower
caul8G05816.1	35127651	1	AT2G16676.1	29.268	None	BroT22.C01g19320.1	97.403	NO	NO	cauliflower
BroT21.C02g52510.1	35127651	3	AT3G57587.1	31.579	None	BroT22.C02g52950.1	99.338	NO	NO	cauliflower
BroT22.C02g52950.1	35127651	4	AT4G19360.1	27.381	SCD6 protein-related	BroT22.C02g52950.1	100.000	NO	NO	cauliflower
